n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
5,11,29,76,1009,98,786,-1,-22,988,2^2;13^1;19^1,19,52,18,180
5,11,29,76,10007,5890,6840,-1,24,10032,2^4;3^1;11^1;19^1,19,528,18,240
5,11,29,76,100003,32824,6840,-1,260,100264,2^3;83^1;151^1,151,664,50,831
5,11,29,76,1000003,275587,6840,1,-268,1000272,2^4;3^1;7^1;13^1;229^1,229,4368,228,4545
5,11,29,76,10000019,3340651,6840,-1,-4912,9995108,2^2;1553^1;1609^1,1609,6212,1608,37392
5,11,29,76,100000007,64108193,6840,1,17212,99982796,2^2;83^1;301153^1,301153,332,25096,666937
5,11,29,76,1000000007,272660822,6840,1,-9084,1000009092,2^2;3^1;6607^1;12613^1,12613,79284,12612,377066
5,11,29,76,10000000019,4919590654,6840,1,-28964,10000028984,2^3;11^1;8933^1;12721^1,12721,786104,6360,211275
5,11,29,76,100000000003,95979532168,6840,-1,-425348,99999574656,2^7;3^1;41^1;647^1;9817^1,9817,10186368,409,14946
5,11,29,76,1000000000039,617690058505,6840,1,1405944,999998594096,2^4;62499912131^1,62499912131,16,31249956065,1245721284198
8,1,8,17,1009,637,952,-1,6,1016,2^3;127^1,127,8,63,629
8,1,8,17,10007,842,952,1,-112,10120,2^3;5^1;11^1;23^1,23,440,11,147
8,1,8,17,100003,27733,952,1,-396,100400,2^4;5^2;251^1,251,400,125,2077
8,1,8,17,1000003,672272,952,-1,-1096,998908,2^2;249727^1,249727,4,41621,829572
8,1,8,17,10000019,3361352,952,-1,-168,9999852,2^2;3^1;19^1;61^1;719^1,719,13908,359,8349
8,1,8,17,100000007,34453785,952,1,-6872,100006880,2^5;5^1;19^1;67^1;491^1,491,203680,1,27
8,1,8,17,1000000007,310924373,952,-1,-20032,999979976,2^3;124997497^1,124997497,8,62498748,1868547123
8,1,8,17,10000000019,8739495816,952,1,190700,9999809320,2^3;5^1;249995233^1,249995233,40,31249404,1038082732
8,1,8,17,100000000003,63025210087,952,-1,-105728,99999894276,2^2;3^4;13729^1;22481^1,22481,4448196,5620,205362
8,1,8,17,1000000000039,67226890760,952,1,487664,999999512376,2^3;3^1;17^1;37^1;1307^1;50683^1,50683,19730472,25341,1010172
8,1,17,28,1009,733,557,1,6,1004,2^2;251^1,251,4,25,250
8,1,17,28,10007,1855,3584,-1,56,10064,2^4;17^1;37^1,37,272,36,479
8,1,17,28,100003,44422,3584,1,-268,100272,2^4;3^1;2089^1,2089,48,2088,34682
8,1,17,28,1000003,372770,3584,1,-1272,1001276,2^2;53^1;4723^1,4723,212,4722,94117
8,1,17,28,10000019,1941969,3584,1,-348,10000368,2^4;3^3;7^1;3307^1,3307,3024,1653,38439
8,1,17,28,100000007,79241078,3584,-1,336,100000344,2^3;3^1;19^1;37^1;5927^1,5927,16872,2963,78743
8,1,17,28,1000000007,649553577,3584,1,-43212,1000043220,2^2;3^1;5^1;11^2;23^1;53^1;113^1,113,8849940,112,3349
8,1,17,28,10000000019,4799107153,3584,1,-72600,10000072620,2^2;3^3;5^1;101^1;181^1;1013^1,1013,9871740,506,16809
8,1,17,28,100000000003,94419642861,3584,1,-146884,100000146888,2^3;3^3;462963643^1,462963643,216,462963642,16917251223
8,1,17,28,1000000000039,863839285749,3584,1,-1447964,1000001448004,2^2;13^1;43^1;447227839^1,447227839,2236,74537973,2971317440
8,1,28,41,1009,588,784,1,-6,1016,2^3;127^1,127,8,63,629
8,1,28,41,10007,6139,8856,-1,128,10136,2^3;7^1;181^1,181,56,90,1196
8,1,28,41,100003,8041,8856,1,-524,100528,2^4;61^1;103^1,103,976,17,283
8,1,28,41,1000003,332432,8856,-1,440,1000444,2^2;67^1;3733^1,3733,268,622,12398
8,1,28,41,10000019,307138,8856,-1,-876,9999144,2^3;3^2;113^1;1229^1,1229,8136,307,7139
8,1,28,41,100000007,74345083,8856,1,-7096,100007104,2^6;1562611^1,1562611,64,260435,6921171
8,1,28,41,1000000007,946702808,8856,-1,22584,1000022592,2^6;3^1;19^1;467^1;587^1,587,1703616,586,17520
8,1,28,41,10000000019,6160794954,8856,-1,38892,10000038912,2^10;3^1;29^1;112249^1,112249,89088,56124,1864399
8,1,28,41,100000000003,66576332433,8856,-1,271820,100000271824,2^4;139^1;44964151^1,44964151,2224,8992830,328608881
8,1,28,41,1000000000039,47877145441,8856,-1,-1114032,999998886008,2^3;401^1;311720351^1,311720351,3208,155860175,6213075531
8,1,41,56,1009,751,767,1,26,984,2^3;3^1;41^1,41,24,10,100
8,1,41,56,10007,5965,7913,1,-144,10152,2^3;3^3;47^1,47,216,46,612
8,1,41,56,100003,21207,17920,-1,-64,99940,2^2;5^1;19^1;263^1,263,380,262,4352
8,1,41,56,1000003,283484,17920,-1,-1192,998812,2^2;249703^1,249703,4,249702,4976954
8,1,41,56,10000019,9620555,17920,1,220,9999800,2^3;5^2;49999^1,49999,200,49998,1162629
8,1,41,56,100000007,48883933,17920,1,7032,99992976,2^4;3^1;2083187^1,2083187,48,2083186,55361554
8,1,41,56,1000000007,631696434,17920,-1,30540,1000030548,2^2;3^1;11^1;29^1;261241^1,261241,3828,261240,7810385
8,1,41,56,10000000019,6763392871,17920,1,-102916,10000102936,2^3;127^1;9842621^1,9842621,1016,1968524,65392952
8,1,41,56,100000000003,71205357146,17920,-1,-294692,99999705312,2^5;3^2;13^1;26709323^1,26709323,3744,26709322,975990919
8,1,41,56,1000000000039,417410714303,17920,1,-1365872,1000001365912,2^3;2129^1;58713091^1,58713091,17032,29356545,1170243980
8,1,56,73,1009,817,841,1,26,984,2^3;3^1;41^1,41,24,10,100
8,1,56,73,10007,8697,2099,-1,16,10024,2^3;7^1;179^1,179,56,178,2366
8,1,56,73,100003,32530,32120,-1,-560,99444,2^2;3^1;8287^1,8287,12,4143,68814
8,1,56,73,1000003,787301,32120,-1,740,1000744,2^3;125093^1,125093,8,31273,623321
8,1,56,73,10000019,5222925,32120,-1,-4020,9996000,2^5;3^1;5^3;7^2;17^1,17,588000,16,373
8,1,56,73,100000007,7447075,32120,-1,2016,100002024,2^3;3^2;17^1;81701^1,81701,1224,20425,542804
8,1,56,73,1000000007,999750942,32120,1,-13352,1000013360,2^4;5^1;47^1;265961^1,265961,3760,265960,7951500
8,1,56,73,10000000019,2856787055,32120,1,43644,9999956376,2^3;3^2;17^1;23^1;71^1;5003^1,5003,1998792,2501,83082
8,1,56,73,100000000003,33897882941,32120,1,-270652,100000270656,2^6;3^3;11^1;13^1;499^1;811^1,811,123304896,405,14800
8,1,56,73,1000000000039,330510585319,32120,1,1421248,999998578792,2^3;37^1;109^1;3671^1;8443^1,8443,118441144,8442,336525
8,1,73,92,1009,371,524,-1,-6,1004,2^2;251^1,251,4,25,250
8,1,73,92,10007,2749,2957,-1,96,10104,2^3;3^1;421^1,421,24,210,2791
8,1,73,92,100003,57234,52992,1,-484,100488,2^3;3^1;53^1;79^1,79,1272,78,1296
8,1,73,92,1000003,181010,52992,-1,0,1000004,2^2;53^2;89^1,89,11236,2,40
8,1,73,92,10000019,7438119,52992,1,3660,9996360,2^3;3^1;5^1;11^1;7573^1,7573,1320,1893,44019
8,1,73,92,100000007,86156408,52992,-1,528,100000536,2^3;3^1;4166689^1,4166689,24,1041672,27682876
8,1,73,92,1000000007,687650972,52992,-1,-4716,999995292,2^2;3^2;27777647^1,27777647,36,27777646,830478085
8,1,73,92,10000000019,46799518,52992,-1,164492,10000164512,2^5;13^1;19^1;31^1;40813^1,40813,245024,20406,677873
8,1,73,92,100000000003,9405193238,52992,-1,367996,100000368000,2^7;3^2;5^3;13^1;53419^1,53419,1872000,8903,325327
8,1,73,92,1000000000039,436443236733,52992,-1,1466192,1000001466232,2^3;79^1;1582280801^1,1582280801,632,98892550,3942167283
8,2,4,14,1009,290,224,1,-62,1072,2^4;67^1,67,16,33,330
8,2,4,14,10007,5720,224,-1,-180,9828,2^2;3^3;7^1;13^1,13,756,6,80
8,2,4,14,100003,28574,224,1,548,99456,2^7;3^1;7^1;37^1,37,2688,12,200
8,2,4,14,1000003,571432,224,1,-740,1000744,2^3;125093^1,125093,8,31273,623321
8,2,4,14,10000019,2857150,224,1,300,9999720,2^3;3^3;5^1;47^1;197^1,197,50760,196,4558
8,2,4,14,100000007,14285717,224,-1,-3612,99996396,2^2;3^1;8333033^1,8333033,12,4166516,110726933
8,2,4,14,1000000007,714285721,224,1,41392,999958616,2^3;79^1;137^1;11549^1,11549,86584,2887,86314
8,2,4,14,10000000019,1428571433,224,1,-167932,10000167952,2^4;8597^1;72701^1,72701,137552,36350,1207521
8,2,4,14,100000000003,28571428574,224,1,-316636,100000316640,2^5;3^1;5^1;7^1;19^1;733^1;2137^1,2137,46794720,267,9757
8,2,4,14,1000000000039,857142857178,224,1,-1130556,1000001130596,2^2;13^1;19230790973^1,19230790973,52,4807697743,191649914451
8,2,14,28,1009,926,670,1,10,1000,2^3;5^3,5,200,2,20
8,2,14,28,10007,835,2688,-1,24,10032,2^4;3^1;11^1;19^1,19,528,18,240
8,2,14,28,100003,41669,2688,-1,-452,99552,2^5;3^1;17^1;61^1,61,1632,20,333
8,2,14,28,1000003,416669,2688,-1,596,1000600,2^3;5^2;5003^1,5003,200,2501,49849
8,2,14,28,10000019,833336,2688,1,4452,9995568,2^4;3^1;11^2;1721^1,1721,5808,344,8000
8,2,14,28,100000007,8333335,2688,-1,5072,100005080,2^3;5^1;7^3;37^1;197^1,197,507640,49,1303
8,2,14,28,1000000007,83333335,2688,1,7884,999992124,2^2;3^2;27777559^1,27777559,36,9259186,276825152
8,2,14,28,10000000019,833333336,2688,1,60612,9999939408,2^4;3^1;208332071^1,208332071,48,208332070,6920641565
8,2,14,28,100000000003,41666666669,2688,-1,151180,100000151184,2^4;3^1;2083336483^1,2083336483,48,2083336482,76127633898
8,2,14,28,1000000000039,416666666684,2688,-1,-603296,999999396744,2^3;3^1;41666641531^1,41666641531,24,13888880510,553654348474
8,2,28,46,1009,244,487,1,-22,1032,2^3;3^1;43^1,43,24,42,420
8,2,28,46,10007,7933,9568,-1,-48,9960,2^3;3^1;5^1;83^1,83,120,82,1090
8,2,28,46,100003,72244,9568,1,-332,100336,2^4;6271^1,6271,16,3135,52072
8,2,28,46,1000003,612043,9568,1,652,999352,2^3;124919^1,124919,8,62459,1244907
8,2,28,46,10000019,2508367,9568,-1,-4272,9995748,2^2;3^1;7^1;19^1;6263^1,6263,1596,3131,72807
8,2,28,46,100000007,38127094,9568,-1,-136,99999872,2^7;7^1;233^1;479^1,479,208768,239,6352
8,2,28,46,1000000007,973244155,9568,1,47576,999952432,2^4;62497027^1,62497027,16,31248513,934247820
8,2,28,46,10000000019,1705685623,9568,1,-60540,10000060560,2^4;3^2;5^1;7^1;1984139^1,1984139,5040,1984138,65911638
8,2,28,46,100000000003,33110367895,9568,-1,19312,100000019316,2^2;3^1;631^1;13206553^1,13206553,7572,6603276,241291689
8,2,28,46,1000000000039,187290969908,9568,-1,1161216,1000001161256,2^3;29^1;31^1;89^1;1562287^1,1562287,640088,1562286,62277622
8,2,46,68,1009,461,729,1,58,952,2^3;7^1;17^1,17,56,16,160
8,2,46,68,10007,5446,3922,-1,72,10080,2^5;3^2;5^1;7^1,7,1440,3,40
8,2,46,68,100003,72062,23936,-1,-104,99900,2^2;3^3;5^2;37^1,37,2700,12,200
8,2,46,68,1000003,602944,23936,-1,4,1000008,2^3;3^2;17^1;19^1;43^1,43,23256,21,419
8,2,46,68,10000019,4264715,23936,1,-348,10000368,2^4;3^3;7^1;3307^1,3307,3024,1653,38439
8,2,46,68,100000007,95588243,23936,-1,-14352,99985656,2^3;3^1;4166069^1,4166069,24,2083034,55357514
8,2,46,68,1000000007,838235301,23936,-1,52800,1000052808,2^3;3^1;31^1;1344157^1,1344157,744,672078,20093354
8,2,46,68,10000000019,3088235301,23936,1,123120,9999876900,2^2;3^1;5^2;13^1;2564071^1,2564071,3900,854690,28392188
8,2,46,68,100000000003,95588235298,23936,1,131788,99999868216,2^3;41^1;2347^1;129901^1,129901,769816,8660,316447
8,2,46,68,1000000000039,485294117667,23936,1,1690968,999998309072,2^4;7^1;53^1;168463327^1,168463327,5936,28077221,1119246112
8,2,68,94,1009,822,191,1,42,968,2^3;11^2,11,88,10,100
8,2,68,94,10007,1614,9604,1,32,9976,2^3;29^1;43^1,43,232,21,280
8,2,68,94,100003,42491,49632,-1,-4,100000,2^5;5^5,5,20000,4,67
8,2,68,94,1000003,237268,49632,-1,244,1000248,2^3;3^1;71^1;587^1,587,1704,293,5840
8,2,68,94,10000019,4861390,49632,1,-5588,10005608,2^3;1250701^1,1250701,8,1250700,29083152
8,2,68,94,100000007,18246295,49632,-1,17856,100017864,2^3;3^2;97^1;14321^1,14321,6984,3580,95141
8,2,68,94,1000000007,68343006,49632,-1,4868,1000004876,2^2;13^1;2137^1;8999^1,8999,111124,8998,269017
8,2,68,94,10000000019,4687298527,49632,1,37260,9999962760,2^3;3^1;5^1;337^1;247279^1,247279,40440,123639,4107199
8,2,68,94,100000000003,70148291428,49632,-1,-466380,99999533624,2^3;12499941703^1,12499941703,8,6249970851,228381491385
8,2,68,94,1000000000039,862024500357,49632,1,-6492,1000000006532,2^2;17^1;14705882449^1,14705882449,68,14705882448,586222608771
8,4,7,23,1009,426,552,-1,-38,972,2^2;3^5,3,324,1,10
8,4,7,23,10007,5368,552,-1,72,10080,2^5;3^2;5^1;7^1,7,1440,3,40
8,4,7,23,100003,59424,552,1,-260,100264,2^3;83^1;151^1,151,664,50,831
8,4,7,23,1000003,637685,552,-1,-1144,998860,2^2;5^1;49943^1,49943,20,49942,995423
8,4,7,23,10000019,8405815,552,-1,-2096,9997924,2^2;29^1;79^1;1091^1,1091,9164,545,12674
8,4,7,23,100000007,97101458,552,-1,4080,100004088,2^3;3^1;4166837^1,4166837,24,1041709,27683860
8,4,7,23,1000000007,101449278,552,-1,-41648,999958360,2^3;5^1;17^1;61^1;24107^1,24107,41480,12053,360353
8,4,7,23,10000000019,1449275367,552,1,-151092,10000151112,2^3;3^1;7^1;59524709^1,59524709,168,14881177,494342000
8,4,7,23,100000000003,20289855075,552,-1,-49612,99999950392,2^3;12499993799^1,12499993799,8,12499993798,456764886419
8,4,7,23,1000000000039,289855072477,552,1,-1016640,1000001016680,2^3;5^1;167^1;1487^1;100673^1,100673,9933160,9152,364828
8,4,14,34,1009,298,702,-1,-26,984,2^3;3^1;41^1,41,24,10,100
8,4,14,34,10007,7065,2720,1,48,9960,2^3;3^1;5^1;83^1,83,120,82,1090
8,4,14,34,100003,52944,2720,1,356,99648,2^6;3^2;173^1,173,576,86,1429
8,4,14,34,1000003,647062,2720,-1,84,1000088,2^3;149^1;839^1,839,1192,419,8352
8,4,14,34,10000019,8235311,2720,1,-1628,10001648,2^4;625103^1,625103,16,312551,7267905
8,4,14,34,100000007,29411768,2720,1,5248,99994760,2^3;5^1;857^1;2917^1,2917,34280,1458,38747
8,4,14,34,1000000007,411764710,2720,1,24880,999975128,2^3;124996891^1,124996891,8,124996890,3737076128
8,4,14,34,10000000019,9411764725,2720,-1,51936,10000051956,2^2;3^2;19^1;163^1;257^1;349^1,349,28653444,58,1927
8,4,14,34,100000000003,29411764708,2720,-1,-321484,99999678520,2^3;5^1;7^1;357141709^1,357141709,280,447546,16353872
8,4,14,34,1000000000039,764705882384,2720,1,1129652,999998870388,2^2;3^1;7^2;17^1;23^1;239^1;18199^1,18199,54948012,9099,362715
8,4,23,47,1009,870,81,1,2,1008,2^4;3^2;7^1,7,144,1,10
8,4,23,47,10007,8697,7144,1,16,9992,2^3;1249^1,1249,8,39,519
8,4,23,47,100003,85446,7144,-1,428,100432,2^4;6277^1,6277,16,1569,26061
8,4,23,47,1000003,217247,7144,-1,-1516,998488,2^3;19^1;6569^1,6569,152,6568,130911
8,4,23,47,10000019,8141114,7144,1,2660,9997360,2^4;5^1;17^1;7351^1,7351,1360,210,4884
8,4,23,47,100000007,59126545,7144,1,-8544,100008552,2^3;3^1;7^1;17^1;19^2;97^1,97,1031016,24,638
8,4,23,47,1000000007,726763724,7144,1,-35924,1000035932,2^2;7^1;35715569^1,35715569,28,17857784,533900470
8,4,23,47,10000000019,5341545364,7144,1,-55452,10000055472,2^4;3^1;11^1;41^1;571^1;809^1,809,12361008,404,13421
8,4,23,47,100000000003,13885778277,7144,-1,-57416,99999942588,2^2;3^2;7^1;13^1;17^1;229^1;7841^1,7841,12753468,35,1279
8,4,23,47,1000000000039,837625979877,7144,-1,-1406004,999998594036,2^2;13^2;17^1;37^1;359^1;6551^1,6551,152648236,3275,130552
8,4,34,62,1009,409,754,-1,-62,948,2^2;3^1;79^1,79,12,26,260
8,4,34,62,10007,991,4873,1,-88,10096,2^4;631^1,631,16,126,1675
8,4,34,62,100003,99789,14880,1,-484,100488,2^3;3^1;53^1;79^1,79,1272,78,1296
8,4,34,62,1000003,94625,14880,1,356,999648,2^5;3^3;13^1;89^1,89,11232,2,40
8,4,34,62,10000019,924734,14880,1,2572,9997448,2^3;1249681^1,1249681,8,1249680,29059434
8,4,34,62,100000007,48602155,14880,-1,-10548,99989460,2^2;3^2;5^1;67^1;8291^1,8291,12060,4145,110156
8,4,34,62,1000000007,840860222,14880,-1,22408,1000022416,2^4;17^1;3676553^1,3676553,272,919138,27479794
8,4,34,62,10000000019,6086021518,14880,-1,26676,10000026696,2^3;3^1;11^1;37878889^1,37878889,264,18939444,629154712
8,4,34,62,100000000003,28817204303,14880,-1,-97484,99999902520,2^3;3^2;5^1;7^1;103^1;385267^1,385267,259560,385266,14078086
8,4,34,62,1000000000039,17204301077,14880,-1,1967392,1000001967432,2^3;3^1;13^1;16141^1;198571^1,198571,5035992,99285,3957812
8,4,47,79,1009,814,942,1,2,1008,2^4;3^2;7^1,7,144,1,10
8,4,47,79,10007,9575,7162,-1,-48,9960,2^3;3^1;5^1;83^1,83,120,82,1090
8,4,47,79,100003,17046,27176,-1,-36,99968,2^7;11^1;71^1,71,1408,70,1163
8,4,47,79,1000003,30322,27176,-1,1204,1001208,2^3;3^1;13^1;3209^1,3209,312,3208,63941
8,4,47,79,10000019,5407724,27176,1,1388,9998632,2^3;7^1;61^1;2927^1,2927,3416,1463,34020
8,4,47,79,100000007,67353553,27176,-1,-14208,99985800,2^3;3^1;5^2;166643^1,166643,600,83321,2214291
8,4,47,79,1000000007,463350019,27176,1,4452,999995556,2^2;3^1;7^1;17^1;700277^1,700277,1428,700276,20936399
8,4,47,79,10000000019,503385342,27176,-1,52228,10000052248,2^3;1250006531^1,1250006531,8,625003265,20762159056
8,4,47,79,100000000003,52251987050,27176,1,231456,99999768548,2^2;61^1;229^1;233^1;7681^1,7681,13019108,7680,280637
8,4,47,79,1000000000039,745363556109,27176,-1,-1257720,999998742320,2^4;5^1;12499984279^1,12499984279,80,6249992139,249144293753
8,4,62,98,1009,726,67,1,34,976,2^4;61^1,61,16,20,200
8,4,62,98,10007,6001,5444,-1,112,10120,2^3;5^1;11^1;23^1,23,440,11,147
8,4,62,98,100003,79736,45472,1,524,99480,2^3;3^1;5^1;829^1,829,120,828,13753
8,4,62,98,1000003,496132,45472,-1,-16,999988,2^2;11^1;22727^1,22727,44,22726,452965
8,4,62,98,10000019,2850112,45472,-1,-756,9999264,2^5;3^1;11^1;17^1;557^1,557,17952,139,3233
8,4,62,98,100000007,15482057,45472,-1,5304,100005312,2^6;3^1;11^1;47351^1,47351,2112,23675,629174
8,4,62,98,1000000007,557353981,45472,1,32668,999967340,2^2;5^1;19^1;2631493^1,2631493,380,657873,19668662
8,4,62,98,10000000019,8838845901,45472,-1,65604,10000065624,2^3;3^1;359^1;1160639^1,1160639,8616,580319,19277780
8,4,62,98,100000000003,23574947222,45472,-1,-343296,99999656708,2^2;7^1;233^1;1627^1;9421^1,9421,10614548,314,11474
8,4,62,98,1000000000039,505277973279,45472,1,-1315364,1000001315404,2^2;7^1;13^1;47^1;89^1;277^1;2371^1,2371,421763524,158,6299
8,7,8,31,1009,885,248,-1,-6,1004,2^2;251^1,251,4,25,250
8,7,8,31,10007,329,248,-1,-192,9816,2^3;3^1;409^1,409,24,102,1356
8,7,8,31,100003,6458,248,1,284,99720,2^3;3^2;5^1;277^1,277,360,276,4585
8,7,8,31,1000003,161297,248,1,-148,1000152,2^3;3^2;29^1;479^1,479,2088,239,4764
8,7,8,31,10000019,2258075,248,1,-992,10001012,2^2;7^1;357179^1,357179,28,178589,4152820
8,7,8,31,100000007,41935493,248,1,1280,99998728,2^3;29^1;431029^1,431029,232,143676,3818251
8,7,8,31,1000000007,774193560,248,1,-19224,1000019232,2^5;3^2;3472289^1,3472289,288,3472288,103812220
8,7,8,31,10000000019,7419354859,248,-1,106548,10000106568,2^3;3^2;53^1;2620573^1,2620573,3816,2620572,87053518
8,7,8,31,100000000003,35483870975,248,-1,-71592,99999928412,2^2;293^1;643^1;132697^1,132697,753596,132696,4848873
8,7,8,31,1000000000039,483870967767,248,1,-798128,1000000798168,2^3;421^1;296912351^1,296912351,3368,29691235,1183585773
8,7,23,56,1009,624,105,1,-42,1052,2^2;263^1,263,4,262,2615
8,7,23,56,10007,9461,7168,-1,-104,9904,2^4;619^1,619,16,618,8213
8,7,23,56,100003,16408,7168,-1,-308,99696,2^4;3^1;31^1;67^1,67,1488,33,549
8,7,23,56,1000003,414065,7168,-1,820,1000824,2^3;3^1;11^1;17^1;223^1,223,4488,222,4425
8,7,23,56,10000019,390627,7168,-1,-3308,9996712,2^3;11^1;47^1;2417^1,2417,4136,604,14046
8,7,23,56,100000007,82031257,7168,-1,-4056,99995952,2^4;3^1;7^1;297607^1,297607,336,297606,7909006
8,7,23,56,1000000007,820312507,7168,1,-11628,1000011636,2^2;3^3;13^1;389^1;1831^1,1831,546156,183,5472
8,7,23,56,10000000019,390625002,7168,-1,-68032,9999931988,2^2;163^1;15337319^1,15337319,652,15337318,509494676
8,7,23,56,100000000003,91406250004,7168,-1,438304,100000438308,2^2;3^2;17^1;163399409^1,163399409,612,20424926,746351491
8,7,23,56,1000000000039,70312500004,7168,1,-249752,1000000249792,2^6;15625003903^1,15625003903,64,2604167317,103810278890
8,7,31,68,1009,761,948,-1,-34,976,2^4;61^1,61,16,20,200
8,7,31,68,10007,4974,3049,-1,-80,9928,2^3;17^1;73^1,73,136,36,479
8,7,31,68,100003,23470,13056,-1,-196,99808,2^5;3119^1,3119,32,1559,25895
8,7,31,68,1000003,881744,13056,1,824,999180,2^2;3^2;5^1;7^1;13^1;61^1,61,16380,60,1196
8,7,31,68,10000019,5189962,13056,-1,-2040,9997980,2^2;3^1;5^1;281^1;593^1,593,16860,296,6884
8,7,31,68,100000007,23223042,13056,-1,-19176,99980832,2^5;3^1;7^1;148781^1,148781,672,148780,3953892
